student_id,skill_id
student-e532c1bb17c1,skill-b949c922b6ef
student-e532c1bb17c1,skill-b27ad06d123c
student-e532c1bb17c1,skill-c1ba60ce1358
student-e532c1bb17c1,skill-41a52587276c
student-e532c1bb17c1,skill-8d9a80fb1dc3
student-e532c1bb17c1,skill-8e2848d04afe
student-e532c1bb17c1,skill-4445d918dfcf
student-5bf57e9190ad,skill-3bc8408be5e7
student-5bf57e9190ad,skill-18885f27b5af
student-5bf57e9190ad,skill-72ebd499f293
student-5bf57e9190ad,skill-598821f540fe
student-5bf57e9190ad,skill-b949c922b6ef
student-5bf57e9190ad,skill-a79bfb3e5086
student-5bf57e9190ad,skill-e86755d376aa
student-ca640fd34fa2,skill-05642da1523d
student-ca640fd34fa2,skill-494a953d8b1c
student-ca640fd34fa2,skill-c58f5de0911c
student-ca640fd34fa2,skill-45314e97b0c2
student-ca640fd34fa2,skill-1fc0c785332e
student-ca640fd34fa2,skill-de371adefe4d
student-64cfd97277a2,skill-a7056a455639
student-64cfd97277a2,skill-49566270eff6
student-64cfd97277a2,skill-625da44e4eaf
student-64cfd97277a2,skill-a79bfb3e5086
student-64cfd97277a2,skill-53ee99ac6e3c
student-64cfd97277a2,skill-91231ff9ab66
student-bd88676e8d83,skill-724f40bbb5cf
student-bd88676e8d83,skill-72ebd499f293
student-bd88676e8d83,skill-26f2faf23e18
student-bd88676e8d83,skill-3c26e7a5b744
student-bd88676e8d83,skill-5b11a40ce7ac
student-65b582c82f11,skill-bde483d06e32
student-65b582c82f11,skill-724f40bbb5cf
student-65b582c82f11,skill-553ea337c893
student-65b582c82f11,skill-3bc8408be5e7
student-65b582c82f11,skill-d66e14828ca4
student-65b582c82f11,skill-4828e60247c1
student-65b582c82f11,skill-de371adefe4d
student-65b582c82f11,skill-d4347223667f
student-65b582c82f11,skill-5b11a40ce7ac
student-712abb030227,skill-26f2faf23e18
student-712abb030227,skill-724f40bbb5cf
student-712abb030227,skill-3bc8408be5e7
student-712abb030227,skill-0073e8c7fe96
student-712abb030227,skill-d66e14828ca4
student-712abb030227,skill-8e194cdc9d6f
student-712abb030227,skill-05b073bd5e46
student-712abb030227,skill-1dbd59f661d6
student-0224012b0526,skill-d66e14828ca4
student-0224012b0526,skill-72ebd499f293
student-0224012b0526,skill-bde483d06e32
student-0224012b0526,skill-0073e8c7fe96
student-0224012b0526,skill-724f40bbb5cf
student-0224012b0526,skill-8d9a80fb1dc3
student-0224012b0526,skill-e876abbe46ea
student-0224012b0526,skill-05b073bd5e46
student-0224012b0526,skill-274b0f34ea9f
student-ecf69caded74,skill-2dd9eb7d9f0c
student-ecf69caded74,skill-20f3bd11a056
student-ecf69caded74,skill-598821f540fe
student-ecf69caded74,skill-94d8a734ab66
student-ecf69caded74,skill-009feb88ac14
student-ecf69caded74,skill-05642da1523d
student-03ceaa3d0094,skill-de371adefe4d
student-03ceaa3d0094,skill-a7056a455639
student-03ceaa3d0094,skill-e4a5f92fd340
student-03ceaa3d0094,skill-cc52d03280b7
student-03ceaa3d0094,skill-8ff7b29c130d
student-03ceaa3d0094,skill-3dfaa5639173
student-03ceaa3d0094,skill-d4347223667f
student-b49c84581a51,skill-18885f27b5af
student-b49c84581a51,skill-bde483d06e32
student-b49c84581a51,skill-ef0f41c9727a
student-b49c84581a51,skill-0073e8c7fe96
